5.2,0.25,3.4,0.583333333,1.4,0.06779661,0.2,0.041666667,setosa
4.7,0.111111111,3.2,0.5,1.6,0.101694915,0.2,0.041666667,setosa
4.8,0.138888889,3.1,0.458333333,1.6,0.101694915,0.2,0.041666667,setosa
5.4,0.305555556,3.4,0.583333333,1.5,0.084745763,0.4,0.125,setosa
7,0.75,3.2,0.5,4.7,0.627118644,1.4,0.541666667,versicolor
6.4,0.583333333,3.2,0.5,4.5,0.593220339,1.5,0.583333333,versicolor
6.9,0.722222222,3.1,0.458333333,4.9,0.661016949,1.5,0.583333333,versicolor
7.4,0.861111111,2.8,0.333333333,6.1,0.86440678,1.9,0.75,virginica
7.9,0.9999,3.8,0.75,6.4,0.915254237,2,0.791666667,virginica
6.4,0.583333333,2.8,0.333333333,5.6,0.779661017,2.2,0.875,virginica
6.3,0.555555556,2.8,0.333333333,5.1,0.694915254,1.5,0.583333333,virginica